iteration	label	cosine_weight	hf_weight	score_J	lpips	arcface	ssim	psnr_db	fid	kid_raw	face_pair_count	face_pair_rate	fingerprint	status
0	baseline_mse	0.0	0.0	0.10959657390415668	0.10951772257685662	0.7929076671600341	0.891687023639679	26.027555847167967	29.286352157592773	-0.07221841812133789	10	1.0	27ed9a27a208bea891c7311f6b85825528dfda457883e0799b7239933b616b3c	success
1	cosine_only_0.0625	0.0625	0.0	0.10872050715982914	0.10863614678382874	0.7718119502067566	0.8907465457916259	25.82912120819092	26.131362915039062	-0.07314944267272949	10	1.0	a41040107a51f6f24ab94cacd37c47559db2aca2d22836a3da69fda0e1300318	success
2	cosine_only_0.125	0.125	0.0	0.11043255676478148	0.1103473350405693	0.7699534833431244	0.889159619808197	25.645673751831055	28.260549545288086	-0.07185602188110352	10	1.0	c74f585b52ce61d939ad058ef3de1d069a7b2cd2a6ee26620b2a775de3c5f903	success
3	cosine_only_0.25	0.25	0.0	0.1093369228810072	0.1092582069337368	0.7920205056667328	0.8931157052516937	26.136060333251955	26.364757537841797	-0.07229065895080566	10	1.0	010b1552e3acb3c2f85d9fd04a980a235b5852c98b0ab897abe3daa65199152e	success
4	cosine_only_0.5	0.5	0.0	0.11230493813455106	0.11222792714834214	0.8018452048301696	0.8901108503341675	25.660157203674316	29.87598419189453	-0.07302308082580566	10	1.0	bbe24ea8d82f909f6de6f3595e4952ac9ed6bfb1ff96a9ff6ca17d99b7d807ee	success
5	hf_only_0.0625	0.0	0.0625	0.10905626335889101	0.10897748544812202	0.7913461148738861	0.8935422420501709	26.27568950653076	27.361173629760742	-0.0711517333984375	10	1.0	1ae46489471942ef26ac694d2488f634d7d499e441ae521a6eede63bb0f16979	success
6	hf_only_0.125	0.0	0.125	0.11104172786176204	0.11096138060092926	0.7852170884609222	0.8933938682079315	25.827091217041016	27.001972198486328	-0.07094216346740723	10	1.0	25512439debba4f88f78bb5319a9ac1ae40db267c2ff942f5807812346cf2023	success
7	hf_only_0.25	0.0	0.25	0.11422378318458797	0.1141444317996502	0.7924060344696044	0.8901884257793427	25.727365493774414	28.356807708740234	-0.0721747875213623	10	1.0	e9817f13290ff51cfe080f714cbd71b6e2fdefa61a9701b8df45396ccf3e61f1	success
8	hf_only_0.5	0.0	0.5	0.11134929894804954	0.11126886382699012	0.7839965403079987	0.8942629754543304	25.997209548950195	27.070409774780273	-0.07231974601745605	10	1.0	36811de3f33ea22796944638d094a6b626f2aea4a70f20489c1c557e6f39656e	success
9	cosine_0.0625_hf_0.0625	0.0625	0.0625	0.10803620642274618	0.10795966014266015	0.8015723586082458	0.8922425210475922	25.746614456176758	26.181596755981445	-0.07213854789733887	10	1.0	c74e73fe6fbec2351a2fd6beecb7fd2e738aa2b17d233292719d493a516fb695	success
10	cosine_0.0625_hf_0.125	0.0625	0.125	0.11128130759447813	0.11120040714740753	0.7863018989562989	0.8900963127613067	25.88697967529297	26.052886962890625	-0.07189154624938965	10	1.0	22058d56a9ab2e2202da99a9815efd23adfa8da8810c97ee1d6de7bc65c941e5	success
11	cosine_0.0625_hf_0.25	0.0625	0.25	0.11007759614735842	0.10999580174684524	0.7817397534847259	0.8910826444625854	25.865623474121094	27.28318977355957	-0.07132077217102051	10	1.0	a34494551fb9d24509a4ceb462c6b817d1a1b7461d93f72a9a3085dd93f51b8b	success
12	cosine_0.0625_hf_0.5	0.0625	0.5	0.1102620603069663	0.1101815715432167	0.7827589690685273	0.8952859759330749	26.095296096801757	27.05402946472168	-0.07225680351257324	10	1.0	845c7dab0790fb99d4ae457ec80ee771246d3d25388a9bf25e7f3d54371e59e0	success
13	cosine_0.125_hf_0.0625	0.125	0.0625	0.1077745752826333	0.10769206434488296	0.7763860106468201	0.8935702383518219	26.21078758239746	25.626670837402344	-0.07238435745239258	10	1.0	9e0a5b2a0d00937507faa1ddfc643642c8f657606f9e41dc25ca501eba2358a6	success
14	cosine_0.125_hf_0.125	0.125	0.125	0.11071155437976121	0.11062991768121719	0.7804340422153473	0.893019163608551	26.1223424911499	26.52334976196289	-0.07270216941833496	10	1.0	2c7efea76cd52f3a3cdb6b765d173f44ef9a94ff1f8582714346d9c830220ed1	success
15	cosine_0.125_hf_0.25	0.125	0.25	0.11208890618383884	0.11200302615761756	0.7660969972610474	0.8903828978538513	25.68102035522461	30.540971755981445	-0.0716695785522461	10	1.0	630c6c97a937e1d618535c1b9b52ffa4910fbd10dabe895a7a33f20a69e9ffda	success
16	cosine_0.125_hf_0.5	0.125	0.5	0.10715447324514389	0.10707858204841614	0.7995514154434205	0.8968837976455688	26.415644454956055	25.544172286987305	-0.07275509834289551	10	1.0	6dc5c72c2729f9b7ec44c43688302ecdba4c87b77d10fbd1fecfcd034a0fb875	success
17	cosine_0.25_hf_0.0625	0.25	0.0625	0.1120082969069481	0.11192652657628059	0.7793963134288788	0.8935223639011383	26.151701545715333	27.44155502319336	-0.07150053977966309	10	1.0	4beafddaec6d4ee3b9a8e05115de7a30a382a5ba8925f2c0a5086b00f239aa20	success
18	cosine_0.25_hf_0.125	0.25	0.125	0.10945636986792087	0.10937799140810966	0.7935300827026367	0.8929560780525208	25.865831565856933	27.043359756469727	-0.07259726524353027	10	1.0	d3c3bb5c2a42252bd7c0a2720afa5f743cf5cd2a4ca74209712bb9c9953bc081	success
